LINE       ADDRESS    DATA                                                                   ERROR MESSAGE
1          00005077   6D5F54535F5630310000                                                   Valid               
2          1FFE0ED0   00000000000000000000000000000000000000000000000000000000               Valid               
3          1FFE0EEC   00000000000000000000000000000000000000000000000000000000               Valid               
4          1FFE0F08   00000000000000000000000000000000000000000000000000000000               Invalid: Wrong byte count
5          1FFE0ED0   00000000000000000000000000000010000000000000000000000000               Invalid: Checksum error
6          1FFE0F40   00000000000000000000000000000000000000000000000000000000               Valid               
7          1FFE0F5C   00000000000000000000000000000000000000000000000000000000               Invalid: Wrong byte count
8          1FFE0F78   00000000000000000000000000000000000000000000000000000000               Valid               
9          1FFE0F94   00000000000000000000000000000000000000000000000000000000               Valid               
10         1FFE0FB0   00000000000000000000000000000000000000000000000000000000               Valid               
11         1FFE0FCC   00000000000000000000000000000000000000000000000000000000               Valid               
12         1F6E0FE8   00000000000000000000000000000000000000000000000000000000               Invalid: Checksum error
13         1FFE1004   00000000000000000000000000000000000000000000000000000000               Valid               
14         1FFE1020   00000000000000000000000000000000000000000000000000000000               Valid               
15         1FKE103C   00000000000000000000000000000000000000000000000000000000               Invalid: The line has a non-hexadecimal character
16         1FFE1058   00000000000000000000000000000000000000000000000000000000               Valid               
17         1FFE1074   00000000000000000000000000000000000000000000000000000000               Valid               
18         1FFE1090   00000000000000000000000000000000000000000000000000000000               Valid               
19         1FFE10AC   00000000000000000000000000000000000000000000000000000000               Valid               
20         1FFE10C8   00000000000000000000000000000000000000000000000000000000               Valid               
21         1FFE10E4   00000000000000000000000000000000000000000000000000000000               Valid               
22         1FFE1100   00000000000000000000000000000000000000000000000000000000               Valid               
23         1FFE111C   00000000000000000000000000000000000000000000000000000000               Valid               
24         1FFE1138   00000000000000000000000000000000000000000000000000000000               Valid               
25         1FFE1154   00000000000000000000000000000000000000000000000000000000               Valid               
26         1FFE1170   00000000000000000000000000000000000000000000000000000000               Valid               
27         1FFE118C   00000000000000000000000000000000000000000000000000000000               Valid               
28         1FFE11A8   00000000000000000000000000000000000000000000000000000000               Valid               
29         1FFE11C4   00000000000000000000000000000000000000000000000000000000               Valid               
30         1FFE11E0   00000000000000000000000000000000000000000000000000000000               Valid               
31         1FFE11FC   00000000000000000000000000000000000000000000000000000000               Valid               
32         1FFE1218   00000000000000000000000000000000000000000000000000000000               Valid               
33         1FFE1234   00000000000000000000000000000000000000000000000000000000               Valid               
34         1FFE1250   00000000000000000000000000000000000000000000000000000000               Valid               
35         1FFE126C   00000000000000000000000000000000000000000000000000000000               Valid               
36         1FFE1288   00000000000000000000000000000000000000000000000000000000               Valid               
37         1FFE12A4   00000000000000000000000000000000000000000000000000000000               Valid               
38         1FFE12C0   00000000000000000000000000000000000000000000000000000000               Valid               
39         1FFE12DC   00000000000000000000000000000000000000000000000000000000               Valid               
40         1FFE12F8   00000000000000000000000000000000000000000000000000000000               Valid               
41         1FFE1314   00000000000000000000000000000000000000000000000000000000               Valid               
42         1FFE1330   00000000000000000000000000000000000000000000000000000000               Valid               
43         1FFE134C   00000000000000000000000000000000000000000000000000000000               Valid               
44         1FFE1368   00000000000000000000000000000000000000000000000000000000               Valid               
45         1FFE1384   00000000000000000000000000000000000000000000000000000000               Valid               
46         1FFE13A0   00000000000000000000000000000000000000000000000000000000               Valid               
47         1FFE13BC   00000000000000000000000000000000000000000000000000000000               Valid               
48         1FFE13D8   00000000000000000000000000000000000000000000000000000000               Valid               
49         1FFE13F4   00000000000000000000000000000000000000000000000000000000               Valid               
50         1FFE1410   00000000000000000000000000000000000000000000000000000000               Valid               
51         1FFE142C   00000000000000000000000000000000000000000000000000000000               Valid               
52         1FFE1448   00000000000000000000000000000000000000000000000000000000               Valid               
53         1FFE1464   00000000000000000000000000000000000000000000000000000000               Valid               
54         1FFE1480   00000000000000000000000000000000000000000000000000000000               Valid               
